No. of mails,No. of threads,Total no. of authors,Average no. of authors
1,7395,7395,1.000
2,8407,15795,1.879
3,3481,7921,2.275
4,1579,3473,2.199
5,974,1858,1.908
6,721,1322,1.834
7,515,917,1.781
8,387,721,1.863
9,309,542,1.754
10,247,441,1.785
11,204,395,1.936
12,148,260,1.757
13,114,210,1.842
14,76,148,1.947
15,86,156,1.814
16,74,141,1.905
17,58,117,2.017
18,49,93,1.898
19,31,61,1.968
20,40,61,1.525
21,34,60,1.765
22,28,66,2.357
23,24,42,1.750
24,37,65,1.757
25,31,61,1.968
26,22,48,2.182
27,19,35,1.842
28,14,28,2.000
29,15,37,2.467
30,13,26,2.000
31,18,37,2.056
32,14,30,2.143
33,11,27,2.455
34,8,17,2.125
35,8,18,2.250
36,6,16,2.667
37,5,12,2.400
38,6,7,1.167
39,2,4,2.000
40,5,14,2.800
41,6,13,2.167
42,4,8,2.000
43,3,5,1.667
44,4,9,2.250
45,4,10,2.500
46,6,13,2.167
47,4,7,1.750
48,3,7,2.333
49,3,3,1.000
51,1,2,2.000
52,5,13,2.600
54,6,12,2.000
55,5,16,3.200
56,1,4,4.000
57,3,7,2.333
58,5,8,1.600
59,3,12,4.000
60,1,3,3.000
61,5,9,1.800
62,4,9,2.250
63,7,14,2.000
64,2,3,1.500
65,3,7,2.333
66,1,3,3.000
67,2,6,3.000
68,2,6,3.000
69,1,3,3.000
70,1,3,3.000
71,3,5,1.667
72,2,4,2.000
73,2,3,1.500
74,1,3,3.000
75,2,6,3.000
78,4,9,2.250
79,3,7,2.333
80,4,11,2.750
81,1,2,2.000
82,1,3,3.000
83,1,7,7.000
85,3,7,2.333
86,1,1,1.000
87,3,5,1.667
89,1,3,3.000
90,2,4,2.000
91,1,1,1.000
96,1,2,2.000
97,1,1,1.000
98,2,2,1.000
99,1,1,1.000
100,1,4,4.000
103,1,1,1.000
104,1,4,4.000
107,1,1,1.000
109,2,3,1.500
113,3,12,4.000
116,1,1,1.000
119,1,3,3.000
123,1,3,3.000
125,1,3,3.000
127,2,2,1.000
129,1,1,1.000
130,1,1,1.000
131,2,2,1.000
132,1,1,1.000
133,1,3,3.000
134,2,4,2.000
135,2,8,4.000
137,1,1,1.000
139,1,1,1.000
142,1,1,1.000
143,1,1,1.000
154,1,3,3.000
156,1,1,1.000
157,1,1,1.000
161,1,1,1.000
163,1,5,5.000
165,1,1,1.000
171,1,1,1.000
181,1,1,1.000
191,1,3,3.000
197,1,1,1.000
201,1,3,3.000
208,1,3,3.000
211,1,1,1.000
212,1,1,1.000
219,1,1,1.000
231,1,3,3.000
240,1,4,4.000
269,1,1,1.000
274,1,1,1.000
306,1,1,1.000
316,1,3,3.000
