Height(h),Number of authors(i)
 ,1,,2,,3,,4,,5,,6,,7,,8,,9,,10, ,Subtotal
 ,Total,New,Total,New,Total,New,Total,New,Total,New,Total,New,Total,New,Total,New,Total,New,Total,New
0,25400,25400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25400
1,12485,10459,4515,2384,828,377,141,48,23,13,4,4,5,6,3,0,0,0,1,1,18005
2,1205,914,52,15,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1261
3,126,25,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
4,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
5,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
8,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Total:,44851
